epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,14672.1,1.07192,0.50514,0.89831,0.79088,0.83679,0.85413,0.53886,1.12506,0.50306,0.94405,0.000627331,0.000627331,0.000627331
70,14884.5,1.07938,0.51074,0.90088,0.80217,0.83267,0.85494,0.53313,1.13949,0.5013,0.94976,0.000615542,0.000615542,0.000615542
71,15097.2,1.07072,0.50521,0.89937,0.79736,0.83723,0.85754,0.53624,1.13479,0.50168,0.94754,0.000603752,0.000603752,0.000603752
72,15309.6,1.06051,0.50195,0.89506,0.79747,0.83347,0.85846,0.54099,1.11638,0.49806,0.94489,0.000591963,0.000591963,0.000591963
73,15522.4,1.07087,0.50511,0.89759,0.79601,0.83748,0.85629,0.54075,1.11665,0.49745,0.94056,0.000580174,0.000580174,0.000580174
74,15734.5,1.06318,0.4972,0.89869,0.80154,0.83845,0.85707,0.54029,1.10711,0.50183,0.93662,0.000568385,0.000568385,0.000568385
75,15947,1.06117,0.49665,0.89823,0.79772,0.83839,0.85721,0.54366,1.10908,0.49628,0.9403,0.000556595,0.000556595,0.000556595
76,16159.7,1.05976,0.49549,0.89759,0.79727,0.83963,0.85712,0.544,1.09036,0.49554,0.93095,0.000544806,0.000544806,0.000544806
77,16372.2,1.05414,0.49217,0.89657,0.81159,0.83138,0.86272,0.54661,1.10245,0.48444,0.93825,0.000533017,0.000533017,0.000533017
78,16584.8,1.05491,0.49176,0.89337,0.79013,0.84677,0.85872,0.54381,1.11002,0.48938,0.93814,0.000521228,0.000521228,0.000521228
79,16797.6,1.04904,0.4844,0.89442,0.80737,0.84007,0.86504,0.54192,1.12192,0.48844,0.94797,0.000509438,0.000509438,0.000509438
80,17010.2,1.04977,0.48956,0.89373,0.81378,0.82562,0.85904,0.5444,1.10327,0.48891,0.93437,0.000497649,0.000497649,0.000497649
81,17222.9,1.0518,0.48813,0.8939,0.79906,0.835,0.85404,0.54156,1.10371,0.49635,0.93801,0.00048586,0.00048586,0.00048586
82,17435.3,1.05163,0.48878,0.89413,0.80186,0.83494,0.8559,0.53932,1.12558,0.49341,0.94328,0.000474071,0.000474071,0.000474071
83,17647.7,1.04505,0.48778,0.89361,0.80664,0.83314,0.85952,0.54351,1.10904,0.49113,0.93853,0.000462281,0.000462281,0.000462281
84,17860.1,1.0406,0.48485,0.89042,0.79236,0.85102,0.86173,0.55046,1.08707,0.48753,0.92989,0.000450492,0.000450492,0.000450492
85,18073.1,1.04192,0.48165,0.89138,0.80894,0.83482,0.86089,0.54681,1.09563,0.49305,0.93175,0.000438703,0.000438703,0.000438703
86,18285.8,1.0391,0.47805,0.89179,0.8014,0.84519,0.86308,0.55005,1.08416,0.49179,0.92764,0.000426914,0.000426914,0.000426914
87,18498.2,1.03715,0.47898,0.89097,0.79752,0.8434,0.86126,0.54392,1.1066,0.49054,0.93994,0.000415124,0.000415124,0.000415124
88,18710.8,1.03453,0.47795,0.88921,0.80354,0.8396,0.86132,0.54618,1.09452,0.49164,0.93245,0.000403335,0.000403335,0.000403335
89,18923.7,1.02528,0.4754,0.88884,0.80198,0.84626,0.86345,0.54752,1.10492,0.48979,0.93817,0.000391546,0.000391546,0.000391546
90,19135.9,1.02942,0.47477,0.88957,0.80077,0.84475,0.8638,0.54991,1.08657,0.4819,0.92861,0.000379757,0.000379757,0.000379757
91,19348.4,1.03429,0.47473,0.89211,0.81075,0.83116,0.86089,0.54914,1.08595,0.4831,0.92906,0.000367967,0.000367967,0.000367967
92,19561.6,1.02086,0.47046,0.88573,0.80405,0.842,0.86512,0.55369,1.07305,0.48067,0.92469,0.000356178,0.000356178,0.000356178
93,19774.7,1.01996,0.46939,0.88576,0.80517,0.84125,0.86494,0.54772,1.09651,0.48954,0.93527,0.000344389,0.000344389,0.000344389
94,19987.3,1.02066,0.46742,0.88843,0.80981,0.83807,0.86396,0.55243,1.07991,0.48254,0.92788,0.0003326,0.0003326,0.0003326
95,20199.8,1.01526,0.46341,0.88646,0.81236,0.83913,0.86524,0.55172,1.07589,0.48104,0.92485,0.00032081,0.00032081,0.00032081
96,20412.6,1.01878,0.46486,0.88614,0.79939,0.84084,0.86084,0.55099,1.07637,0.48345,0.92604,0.000309021,0.000309021,0.000309021
97,20625,1.01534,0.46319,0.88449,0.80444,0.84471,0.86554,0.55396,1.07121,0.47934,0.92326,0.000297232,0.000297232,0.000297232
98,20837.7,1.0044,0.46049,0.88128,0.80278,0.84477,0.86779,0.55524,1.07148,0.47583,0.92259,0.000285443,0.000285443,0.000285443
99,21050.3,1.007,0.46026,0.88385,0.81443,0.8431,0.86825,0.55475,1.07922,0.48005,0.92676,0.000273654,0.000273654,0.000273654
100,21262.6,1.01172,0.46353,0.88495,0.80696,0.84574,0.86999,0.55563,1.0811,0.47899,0.92725,0.000261864,0.000261864,0.000261864
101,21475.1,1.00271,0.45558,0.88454,0.81486,0.84011,0.86876,0.55841,1.06598,0.47696,0.92067,0.000250075,0.000250075,0.000250075
102,21687.5,1.00127,0.45667,0.88363,0.81089,0.8429,0.86723,0.55498,1.07784,0.48229,0.9266,0.000238286,0.000238286,0.000238286
103,21900.2,1.00027,0.45633,0.88195,0.80433,0.84905,0.86742,0.5529,1.07941,0.48353,0.9276,0.000226497,0.000226497,0.000226497
104,22113,0.99484,0.45109,0.88099,0.79937,0.84751,0.86268,0.55186,1.07649,0.48157,0.92532,0.000214707,0.000214707,0.000214707
105,22325.8,0.99589,0.45423,0.88189,0.80088,0.85268,0.86368,0.5546,1.07021,0.48049,0.92252,0.000202918,0.000202918,0.000202918
106,22538,0.99441,0.45008,0.8811,0.8039,0.84869,0.86749,0.55478,1.07486,0.48024,0.92643,0.000191129,0.000191129,0.000191129
107,22750.6,0.99414,0.45263,0.88127,0.79924,0.84801,0.86831,0.55522,1.07796,0.47836,0.92946,0.00017934,0.00017934,0.00017934
108,22963.1,0.99426,0.44899,0.88075,0.80509,0.84697,0.87044,0.55808,1.0764,0.47684,0.9277,0.00016755,0.00016755,0.00016755
109,23175.8,0.9872,0.4465,0.88039,0.80664,0.84706,0.86975,0.55896,1.07275,0.47689,0.92521,0.000155761,0.000155761,0.000155761
110,23388.5,0.98686,0.44543,0.88032,0.80216,0.84907,0.86931,0.55901,1.0714,0.47798,0.92384,0.000143972,0.000143972,0.000143972
111,23597.3,0.9799,0.43425,0.89066,0.81073,0.84286,0.86815,0.55724,1.07869,0.47806,0.9298,0.000132183,0.000132183,0.000132183
112,23804.8,0.97146,0.4278,0.88942,0.81409,0.84601,0.86935,0.56001,1.07054,0.47732,0.92512,0.000120393,0.000120393,0.000120393
113,24012.4,0.97175,0.42517,0.89152,0.80949,0.84956,0.8704,0.56146,1.07007,0.47385,0.92606,0.000108604,0.000108604,0.000108604
114,24220,0.96982,0.4261,0.88794,0.80947,0.85213,0.87189,0.5615,1.06862,0.4745,0.92532,9.68148e-05,9.68148e-05,9.68148e-05
115,24427.7,0.9687,0.42321,0.88889,0.81051,0.84997,0.8713,0.56126,1.06838,0.47611,0.92603,8.50255e-05,8.50255e-05,8.50255e-05
116,24635.3,0.96666,0.42127,0.88772,0.81369,0.8476,0.8708,0.56177,1.06705,0.47373,0.92521,7.32362e-05,7.32362e-05,7.32362e-05
117,24842.8,0.96474,0.42142,0.88848,0.81246,0.84969,0.87132,0.56194,1.06913,0.475,0.92724,6.1447e-05,6.1447e-05,6.1447e-05
118,25050.1,0.9646,0.41941,0.88934,0.81172,0.8488,0.87164,0.56239,1.06698,0.4746,0.9268,4.96578e-05,4.96578e-05,4.96578e-05
119,25257.9,0.95929,0.41747,0.88708,0.81334,0.84987,0.87262,0.56189,1.06771,0.47491,0.92723,3.78685e-05,3.78685e-05,3.78685e-05
120,25465.7,0.96181,0.41942,0.88683,0.81273,0.84866,0.87271,0.56217,1.06807,0.47302,0.92689,2.60792e-05,2.60792e-05,2.60792e-05
